Source,Target,Weight,Emiten,Position,Company
 KEVIN JONG ,TRINITI DINAMIK TBK.,4,TRUE, COMMISSIONER ,TRINITI DINAMIK TBK.
" DR. IR. ERMAN SUPARNO, M.B.A., M.SI ",TRINITI DINAMIK TBK.,4,TRUE, COMMISSIONER  - INDEPENDENT,TRINITI DINAMIK TBK.
 CAROLINA KUSUMA ,GUNA TIMUR RAYA TBK.,4,TRUK, PRESIDENT COMMISIONER ,GUNA TIMUR RAYA TBK.
 NOER SYAMSUDDIN ,GUNA TIMUR RAYA TBK.,4,TRUK, COMMISSIONER  - INDEPENDENT,GUNA TIMUR RAYA TBK.
 RENEE TANG ,TRUST FINANCE INDONESIA TBK,4,TRUS, PRESIDENT COMMISIONER ,TRUST FINANCE INDONESIA TBK
 IR. HALIM KESUMA ,TRUST FINANCE INDONESIA TBK,4,TRUS, COMMISSIONER  - INDEPENDENT,TRUST FINANCE INDONESIA TBK
 HANDOJO SELAMET MULJADI ,TEMPO SCAN PACIFIC TBK.,4,TSPC, PRESIDENT COMMISIONER ,TEMPO SCAN PACIFIC TBK.
 KUSTANTINAH ,TEMPO SCAN PACIFIC TBK.,4,TSPC, COMMISSIONER  - INDEPENDENT,TEMPO SCAN PACIFIC TBK.
 SUPARNI PARTO SETIONO ,TEMPO SCAN PACIFIC TBK.,4,TSPC, COMMISSIONER  - INDEPENDENT,TEMPO SCAN PACIFIC TBK.
 HARTATY SUSANTO ,TEMPO SCAN PACIFIC TBK.,4,TSPC, COMMISSIONER ,TEMPO SCAN PACIFIC TBK.
 AGUS SUTOMO ,TEMPO SCAN PACIFIC TBK.,4,TSPC, COMMISSIONER  - INDEPENDENT,TEMPO SCAN PACIFIC TBK.
 POERWO TJAHJONO ,ASURANSI TUGU PRATAMA INDONESIA TBK.,4,TUGU, COMMISSIONER  - INDEPENDENT,ASURANSI TUGU PRATAMA INDONESIA TBK.
