Source,Target,Weight,Emiten,Position,Company
 TIURMA RONDANG SARI ,MANDOM INDONESIA TBK.,4,TCID, COMMISSIONER  - INDEPENDENT,MANDOM INDONESIA TBK.
 MASANORI SAWADA ,MANDOM INDONESIA TBK.,4,TCID, COMMISSIONER ,MANDOM INDONESIA TBK.
 ACHMAD SUTJIPTO ,TRANSCOAL PACIFIC TBK.,4,TCPI, PRESIDENT COMMISIONER  - INDEPENDENT,TRANSCOAL PACIFIC TBK.
 ADITYA PARULIANGUI ,TRANSCOAL PACIFIC TBK.,4,TCPI, COMMISSIONER ,TRANSCOAL PACIFIC TBK.
 WILLY WIDJAJA ,TIANRONG CHEMICALS INDUSTRY TBK.,4,TDPM, PRESIDENT COMMISIONER ,TIANRONG CHEMICALS INDUSTRY TBK.
 RAUF PURNAMA ,TIANRONG CHEMICALS INDUSTRY TBK.,4,TDPM, COMMISSIONER  - INDEPENDENT,TIANRONG CHEMICALS INDUSTRY TBK.
" JUNAIDI, S.H., LL.M",DANA BRATA LUHUR TBK.,4,TEBE,,DANA BRATA LUHUR TBK.
 ,DANA BRATA LUHUR TBK.,4,TEBE, PRESIDENT COMMISIONER ,DANA BRATA LUHUR TBK.
 INDRA SURYA ,DANA BRATA LUHUR TBK.,4,TEBE, COMMISSIONER  - INDEPENDENT,DANA BRATA LUHUR TBK.
 LAM CHING CHING ,INDOSTERLING TECHNOMEDIA TBK.,4,TECH, PRESIDENT COMMISIONER ,INDOSTERLING TECHNOMEDIA TBK.
 RAYMOND LAU YEAN LIANG ,INDOSTERLING TECHNOMEDIA TBK.,4,TECH, COMMISSIONER  - INDEPENDENT,INDOSTERLING TECHNOMEDIA TBK.
 CHRISTIANTO WIDJAJA ,OMNI INOVASI INDONESIA TBK.,4,TELE, PRESIDENT COMMISIONER  - INDEPENDENT,OMNI INOVASI INDONESIA TBK.
 HENRY CHRISTIADI ,OMNI INOVASI INDONESIA TBK.,4,TELE, COMMISSIONER ,OMNI INOVASI INDONESIA TBK.
 IVAN EKANCONO ,TELEFAST INDONESIA TBK.,4,TFAS, PRESIDENT COMMISIONER ,TELEFAST INDONESIA TBK.
 SRI HARYATNO ,TELEFAST INDONESIA TBK.,4,TFAS, COMMISSIONER  - INDEPENDENT,TELEFAST INDONESIA TBK.
 ANTON WIRATAMA ,TIFICO FIBER INDONESIA TBK.,4,TFCO, PRESIDENT COMMISIONER ,TIFICO FIBER INDONESIA TBK.
 AFANDI HERMAWAN ,TIFICO FIBER INDONESIA TBK.,4,TFCO, COMMISSIONER ,TIFICO FIBER INDONESIA TBK.
 BAMBANG PRAYITNO ,TIFICO FIBER INDONESIA TBK.,4,TFCO, COMMISSIONER  - INDEPENDENT,TIFICO FIBER INDONESIA TBK.
 SISYANTI SISHANDRINI ,TIFICO FIBER INDONESIA TBK.,4,TFCO, COMMISSIONER  - INDEPENDENT,TIFICO FIBER INDONESIA TBK.
 MEITY TJIPTOBIANTORO ,TIGARAKSA SATRIA TBK.,4,TGKA, PRESIDENT COMMISIONER ,TIGARAKSA SATRIA TBK.
 SHINTA W. KAMDANI ,TIGARAKSA SATRIA TBK.,4,TGKA, COMMISSIONER ,TIGARAKSA SATRIA TBK.
 CHANDRA N. WIDJAJA ,TIGARAKSA SATRIA TBK.,4,TGKA, COMMISSIONER ,TIGARAKSA SATRIA TBK.
 HENDRA KARTASASMITA ,TIGARAKSA SATRIA TBK.,4,TGKA, COMMISSIONER  - INDEPENDENT,TIGARAKSA SATRIA TBK.
 HARRY PRAMONO ,TIGARAKSA SATRIA TBK.,4,TGKA, COMMISSIONER  - INDEPENDENT,TIGARAKSA SATRIA TBK.
 IR. NGURAH ADNYANA ,TERREGRA ASIA ENERGY TBK.,4,TGRA, PRESIDENT COMMISIONER ,TERREGRA ASIA ENERGY TBK.
 SUPANDI WS ,TERREGRA ASIA ENERGY TBK.,4,TGRA, COMMISSIONER  - INDEPENDENT,TERREGRA ASIA ENERGY TBK.
 ROY PETRUS CHALIM ,TERREGRA ASIA ENERGY TBK.,4,TGRA, COMMISSIONER ,TERREGRA ASIA ENERGY TBK.
 ANTONIUS BOBBY SISWANTO ,PLATINUM WAHAB NUSANTARA TBK.,4,TGUK, PRESIDENT COMMISIONER ,PLATINUM WAHAB NUSANTARA TBK.
 WIJANARKO ,PLATINUM WAHAB NUSANTARA TBK.,4,TGUK, COMMISSIONER  - INDEPENDENT,PLATINUM WAHAB NUSANTARA TBK.
 NAJIB WAHAB MAULUDDIN ,PLATINUM WAHAB NUSANTARA TBK.,4,TGUK, COMMISSIONER ,PLATINUM WAHAB NUSANTARA TBK.
 KWON YOUNGHOON ,KDB TIFA FINANCE TBK.,4,TIFA, PRESIDENT COMMISIONER ,KDB TIFA FINANCE TBK.
 CHOI JUNG SIK ,KDB TIFA FINANCE TBK.,4,TIFA, COMMISSIONER  - INDEPENDENT,KDB TIFA FINANCE TBK.
 ANTONIUS HANIFAH KOMALA ,KDB TIFA FINANCE TBK.,4,TIFA, COMMISSIONER  - INDEPENDENT,KDB TIFA FINANCE TBK.
 AGUS ROHMAN ,TIMAH TBK.,4,TINS, PRESIDENT COMMISIONER  - INDEPENDENT,TIMAH TBK.
